cost_to_turnover,admin_cost_ratio,employment_cost_ratio,finance_cost_ratio,deductions_to_turnover,high_cost_flag,thin_margin_flag,turnover_bin_q,sector,is_loss
0.9560122144852468,0.0010771125304846196,0.0,0.0005466105584611571,0.0010771125304846196,1,1,Q3,CONSTRUCTION,1
0.0,0.19113135739822396,0.0,0.005707530849959635,0.21699094683427517,0,0,Q2,REAL ESTATE ACTIVITIES,0
0.7269112674334509,0.0,0.0,0.0,0.0,0,0,Q1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0
0.7357204783269718,0.01665898924441514,0.0,0.003973828796212438,0.01665895203558355,0,0,Q3,SERVICE ACTIVITIES,0
0.0,0.15377799295218583,0.13902474906019133,0.0,0.0,0,0,Q4,ACTIVITIES OF EXTRATERRITORIAL ORGANIZATIONS AND BODIES,1
0.9740425480831972,0.0,0.0,0.0,0.0,1,1,Q3,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.0,0.0019336213668499607,0.0,0.0186086017282011,0.0019336311861743911,0,0,Q3,REAL ESTATE ACTIVITIES,0
0.9981005840290079,0.0,0.0,0.0,0.0,1,1,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1
0.0,0.07428613725501092,0.07411620300878208,0.098691248326786,0.0001699342462288356,0,0,Q3,REAL ESTATE ACTIVITIES,0
0.8926339299012475,0.12018800605026218,0.058645012670908325,0.0015104279865446758,0.0,0,0,Q3,CONSTRUCTION,1
0.03123926954192384,0.002374282482287088,0.0,0.1251933486648344,0.00179437694174393,0,0,Q3,REAL ESTATE ACTIVITIES,0
1.1039152803450605,0.09903908610652404,0.07353026963414926,0.04915250706171621,0.0020500955684937747,1,0,Q4,MANUFACTURING,0
0.0,0.0,0.0,0.0,0.0,0,0,Q1,INFORMATION AND COMMUNICATION,0
0.5393022678191536,0.07014886044038214,0.06637207368848044,0.0020874239695525113,0.03745664294687946,0,0,Q4,"AGRICULTURE, FORESTRY AND FISHING",0
0.0,0.38373456928935334,0.3638890285173073,0.035397768227461185,0.01984543254331975,0,0,Q2,FINANCIAL AND INSURANCE ACTIVITIES,0
0.8957925409396503,0.024700118174155364,0.02235265931097353,0.010248386582147991,0.0023599256089564006,0,0,Q4,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS, UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",0
0.1797427130471254,0.39781794535229587,0.39781794535229587,0.013763815170936718,0.11903878806854445,0,0,Q3,EDUCATION,1
0.9190231196198984,3.9388799370300364e-05,0.0,0.0,3.939810564303995e-05,1,0,Q4,INFORMATION AND COMMUNICATION,0
0.0,0.0,0.0,0.004483630769230769,0.00425375,0,0,Q4,CONSTRUCTION,0
0.0,0.20389997649033925,0.07829763851840106,0.06247440766427097,0.07247407065419599,0,0,Q4,REAL ESTATE ACTIVITIES,0
0.004767675780501845,0.025290870728724216,0.005413914422061496,0.0014564207177929103,0.01987695630666272,0,0,Q4,TRANSPORTATION AND STORAGE,0
0.0,0.03657349892499039,0.0,0.0,0.03657349892499039,0,0,Q4,FINANCIAL AND INSURANCE ACTIVITIES,0
0.534549367448047,0.4784603543486546,0.0,0.952,0.1311953102232053,0,0,Q1,REAL ESTATE ACTIVITIES,1
0.8394274706125796,0.025659413181628128,0.0,0.0025337497978036748,0.025659399857323344,0,0,Q2,CONSTRUCTION,0
2.975,1.2750258860586319,1.2750258860586319,0.00640459814280128,0.0,1,0,Q2,MANUFACTURING,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,CONSTRUCTION,0
0.805340008835223,0.04980965002699651,0.04774947234084327,0.0031763608697786285,0.0019768517155058164,0,0,Q3,TRANSPORTATION AND STORAGE,0
0.3659016077164674,1.6538233545387122,0.0,0.005285316900181884,1.027,0,0,Q2,CONSTRUCTION,1
0.813339356817706,0.0,0.0,0.0,0.0,0,0,Q3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0
0.7960842629953818,0.00599479732994702,0.0,0.007013246686047016,0.005994888588849896,0,0,Q2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.0,0.155524332046323,0.06882377539202415,0.008256186808047,0.08670055665429882,0,0,Q4,"AGRICULTURE, FORESTRY AND FISHING",0
0.11450210378681627,1.7354782608695651,1.361,0.01152875175315568,0.0857116409537167,0,0,Q2,MANUFACTURING,1
0.0,0.5409893587493789,0.5282342961455694,0.019974842460446514,0.012755083878084788,0,0,Q3,EDUCATION,1
0.5602722310783428,0.0,0.0,0.0,0.0,0,0,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.2215750357313006,0.471544306812768,0.10004764173415913,0.30625369223439736,0.3266773010957599,0,0,Q2,TRANSPORTATION AND STORAGE,1
0.022378018886131754,0.41196640074608354,0.41196640074608354,0.0831733943103992,0.0,0,0,Q3,EDUCATION,1
0.0,0.07755452876627483,0.07413888839548773,0.018666936449843883,0.003415609479583617,0,0,Q3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.9,0.0,0.0,0.0,0.0,0,0,Q2,CONSTRUCTION,0
0.0,0.2601826248298359,0.2601826248298359,0.026917845356420195,0.0,0,0,Q2,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1
0.6666666666666666,0.0,0.0,0.0,0.0,0,0,Q2,INFORMATION AND COMMUNICATION,0
0.738909617861764,0.0017718506558000256,0.0,0.00208026152080276,0.0017718506558000256,0,0,Q4,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,SERVICE ACTIVITIES,1
0.0,0.014114184281186633,0.011489829000958546,0.025448575166910056,0.002624365467547215,0,0,Q4,REAL ESTATE ACTIVITIES,0
0.0,0.0,0.0,0.0,0.0,0,0,Q2,REAL ESTATE ACTIVITIES,0
0.22855820905851337,0.038512475197965974,0.0,0.0072521360796243646,0.0,0,0,Q3,SERVICE ACTIVITIES,0
0.9539320199337544,0.03260348018351983,0.03260348018351983,0.0014508660413949338,0.0,1,1,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.7356323610711645,0.03679361416943401,0.03489779163866361,0.010125885058888569,0.0019183316063773386,0,0,Q2,MANUFACTURING,0
0.880045873900372,0.0,0.0,0.001056024902709085,0.0,0,0,Q3,CONSTRUCTION,0
2.975,0.0,0.0,0.0,0.0,1,0,Q1,"PUBLIC ADMINISTRATION AND DEFENCE, COMPULSORY SOCIAL SECURITY",1
0.0,0.084198502287854,0.0813253269516474,0.043174348532603775,0.0025110299804726012,0,0,Q4,REAL ESTATE ACTIVITIES,0
0.96000894253938,0.003918468460103641,0.0,0.027967666077678758,0.003918471510603174,1,1,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.0,0.5659523403347048,0.255438783842858,0.02554125354395566,0.31051355649184675,0,0,Q3,REAL ESTATE ACTIVITIES,0
